City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country
68,Hamilton,39.1834,-84.5333,overcast clouds,53.42,74,100,16.11,US
69,Avarua,-21.2078,-159.775,scattered clouds,84.25,74,45,10.36,CK
70,Inirida,3.8653,-67.9239,overcast clouds,80.98,66,92,2.33,CO
71,Luderitz,-26.6481,15.1594,overcast clouds,76.5,63,100,9.42,NA
72,Arraial Do Cabo,-22.9661,-42.0278,overcast clouds,73.36,84,100,2.3,BR
73,Kapaa,22.0752,-159.319,clear sky,81.48,62,0,6.91,US
74,Maymyo,22.0333,96.4667,clear sky,51.93,50,7,1.3,MM
75,Walvis Bay,-22.9575,14.5053,scattered clouds,70.09,83,40,4.61,NA
76,Papenburg,53.0667,7.4,clear sky,35.96,88,2,1.01,DE
77,Linqu,36.5156,118.5397,few clouds,35.33,56,19,4.18,CN
78,Pangkalanbuun,-2.6833,111.6167,overcast clouds,72.59,99,100,2.75,ID
79,Santiago Del Estero,-27.7951,-64.2615,light rain,68.0,86,87,12.44,AR
80,Byron Bay,-28.65,153.6167,moderate rain,76.87,77,86,14.38,AU
81,Esperance,-33.8667,121.9,light rain,75.04,91,100,7.25,AU
82,Pizhanka,57.4604,48.542,overcast clouds,19.24,98,94,6.44,RU
83,Darhan,49.4867,105.9228,overcast clouds,-19.01,100,86,2.04,MN
84,New Norfolk,-42.7826,147.0587,few clouds,63.91,51,23,1.01,AU
85,Sistranda,63.7256,8.834,overcast clouds,37.9,60,100,34.9,NO
86,Saint George,37.1041,-113.5841,clear sky,72.43,15,0,13.0,US
87,Bluff,-46.6,168.3333,scattered clouds,58.8,66,38,17.27,NZ
88,Balad,34.0164,44.1453,scattered clouds,53.31,58,48,10.65,IQ
89,Tutoia,-2.7619,-42.2744,light rain,82.38,85,92,10.0,BR
90,Dragesti,46.8833,22.1333,overcast clouds,39.99,73,100,9.06,RO
91,Chifeng,42.2683,118.9636,overcast clouds,14.7,62,100,9.53,CN
92,Khandyga,62.6667,135.6,broken clouds,-41.12,100,76,0.63,RU
93,Usman,52.0466,39.7288,overcast clouds,28.44,92,93,4.83,RU
94,Port Elizabeth,-33.918,25.5701,clear sky,65.89,82,0,2.26,ZA
95,Bambous Virieux,-20.3428,57.7575,few clouds,75.22,94,20,5.75,MU
96,Ronne,55.1009,14.7066,clear sky,35.51,69,0,5.75,DK
97,Karasjok,69.4719,25.5112,scattered clouds,24.91,97,37,4.36,NO
98,Kavaratti,10.5669,72.642,few clouds,80.04,76,17,8.66,IN
99,Port Hedland,-20.3167,118.5667,scattered clouds,86.05,79,44,8.05,AU
100,Chuy,-33.6971,-53.4616,scattered clouds,72.79,86,50,15.37,UY
101,Quelimane,-17.8786,36.8883,overcast clouds,74.32,85,98,1.74,MZ
102,Guanica,17.9716,-66.908,clear sky,79.5,78,2,10.0,PR
103,Havre-Saint-Pierre,50.2334,-63.5986,clear sky,23.0,79,0,12.66,CA
104,Necochea,-38.5473,-58.7368,light rain,60.04,57,100,16.71,AR
105,Cape Town,-33.9258,18.4232,clear sky,68.88,80,0,17.27,ZA
106,Butaritari,3.0707,172.7902,light rain,82.04,78,92,15.19,KI
107,Leland,34.2563,-78.0447,clear sky,61.05,50,0,8.05,US
108,Hermanus,-34.4187,19.2345,clear sky,64.9,89,0,7.9,ZA
109,Yellowknife,62.456,-114.3525,scattered clouds,-5.58,83,40,3.44,CA
110,Tukrah,32.5341,20.5791,clear sky,52.12,76,9,6.29,LY
111,Peniche,39.3558,-9.3811,overcast clouds,57.09,92,100,9.1,PT
112,Sitka,57.0531,-135.33,mist,42.69,87,100,3.44,US
113,San Jeronimo,-11.9472,-75.2829,moderate rain,51.75,79,75,2.3,PE
114,Ancud,-41.8697,-73.8203,clear sky,62.42,63,7,3.11,CL
115,Cidreira,-30.1811,-50.2056,clear sky,74.95,83,0,21.07,BR
116,Lukovetskiy,64.2956,41.9211,light snow,24.78,97,97,4.36,RU
117,Rumia,54.5709,18.388,few clouds,31.89,83,21,12.55,PL
118,Eirunepe,-6.6603,-69.8736,moderate rain,76.1,92,100,2.46,BR
119,Alice Springs,-23.7,133.8833,clear sky,72.95,46,0,2.3,AU
120,Norman Wells,65.282,-126.8329,few clouds,-11.16,77,20,2.3,CA
121,Grand Gaube,-20.0064,57.6608,broken clouds,75.38,82,75,1.99,MU
122,Kirakira,-10.4544,161.9205,moderate rain,78.93,87,100,4.7,SB
123,Inhambane,-23.865,35.3833,few clouds,74.28,77,15,8.63,MZ
124,Margate,51.3813,1.3862,overcast clouds,41.31,84,98,1.99,GB
125,Marovoay,-16.1,46.6333,scattered clouds,78.94,92,36,2.13,MG
126,Tasiilaq,65.6145,-37.6368,overcast clouds,14.16,69,99,3.74,GL
127,Jalesar,27.4833,78.3167,clear sky,48.0,49,0,7.87,IN
128,Jijiga,9.35,42.8,few clouds,58.82,42,15,8.79,ET
129,Shanhetun,44.7,127.2,overcast clouds,0.63,98,88,4.34,CN
130,Texarkana,33.4251,-94.0477,clear sky,73.62,28,0,12.66,US
131,Kodiak,57.79,-152.4072,light rain,38.71,87,100,8.05,US
132,El Alto,-4.2714,-81.2147,few clouds,71.53,76,20,15.64,PE
133,Nemuro,43.3236,145.575,broken clouds,23.59,75,80,6.44,JP
134,Chapleau,47.8405,-83.4034,overcast clouds,5.09,78,100,17.27,CA
135,Chokurdakh,70.6333,147.9167,overcast clouds,-4.22,96,100,12.86,RU
136,Saskylakh,71.9167,114.0833,overcast clouds,6.96,90,97,14.52,RU
137,Uyar,55.81,94.3153,overcast clouds,-25.46,100,99,1.74,RU
138,Xinmin,41.9908,122.8253,overcast clouds,14.25,63,94,9.46,CN
139,Karratha,-20.7377,116.8463,clear sky,87.46,61,10,6.2,AU
140,Itarema,-2.9248,-39.9167,scattered clouds,79.39,77,30,11.77,BR
141,Kimbe,-5.5502,150.1429,light rain,80.42,83,100,3.91,PG
142,Prachuap Khiri Khan,12.2167,99.75,overcast clouds,79.68,89,97,2.68,TH
143,Esna,25.2934,32.554,clear sky,50.02,47,0,3.62,EG
144,Alofi,-19.0595,-169.9187,clear sky,84.09,70,2,16.11,NU
145,Olafsvik,64.8945,-23.7142,overcast clouds,27.82,70,100,21.52,IS
146,Kochevo,59.5994,54.3125,overcast clouds,15.13,96,100,5.84,RU
147,Lebu,-37.6167,-73.65,clear sky,59.09,77,0,23.06,CL
148,Lasa,46.6166,10.7002,scattered clouds,31.69,52,26,4.14,IT
149,Neuquen,-38.9516,-68.0591,clear sky,76.89,27,0,6.91,AR
150,Dauphin,51.1494,-100.0502,clear sky,-9.26,49,0,4.61,CA
151,Pevek,69.7008,170.3133,overcast clouds,-28.95,99,99,6.29,RU
152,Kruisfontein,-34.0033,24.7314,clear sky,61.02,86,0,1.45,ZA
153,Nuuk,64.1835,-51.7216,light snow,34.41,69,100,8.05,GL
154,Kathmandu,27.7167,85.3167,few clouds,43.02,93,20,2.3,NP
155,Tiksi,71.6872,128.8694,overcast clouds,-11.67,92,100,17.45,RU
156,Ponta Do Sol,32.6667,-17.1,scattered clouds,65.03,76,29,6.82,PT
157,East London,-33.0153,27.9116,broken clouds,72.81,88,66,5.26,ZA
158,Asyut,27.181,31.1837,clear sky,50.18,59,0,4.27,EG
159,Verkhoyansk,67.5447,133.385,overcast clouds,-26.05,96,97,1.79,RU
160,Seoul,37.5683,126.9778,fog,29.64,93,75,2.3,KR
161,Mocuba,-16.8392,36.9856,overcast clouds,70.39,95,98,2.55,MZ
162,Troitsko-Pechorsk,62.7084,56.1964,overcast clouds,11.32,94,100,8.39,RU
163,Nizwa,22.9333,57.5333,clear sky,59.63,64,0,0.85,OM
164,Bukama,-9.2,25.85,overcast clouds,67.24,95,99,2.59,CD
165,Goderich,43.7501,-81.7165,overcast clouds,36.21,93,100,13.8,CA
